Time ,Minutes,Memory Usage,CPU Frequency,CPU Load,Wi-Fi State,Wi-Fi RSSI Level,Screen Bright,Battery Remaining,GPS State,Download,Upload
10,00:00:00,1821960,902000,44,3,-62,142,77,1,28,3
9966,00:00:09,1813436,546000,44,3,-65,142,77,1,28,3
19956,00:00:19,1796604,839000,44,3,-63,142,77,1,28,3
29993,00:00:29,1814532,1586000,44,3,-66,142,77,1,28,3
39989,00:00:39,1796296,839000,44,3,-58,142,77,1,28,3
49985,00:00:49,1818272,839000,44,3,-58,142,77,1,28,3
59971,00:00:59,1829848,1586000,44,3,-66,142,77,1,28,3
69962,00:01:09,1825928,1586000,44,3,-59,142,77,1,28,3
80008,00:01:20,1797388,902000,44,3,-59,142,77,1,28,3
89991,00:01:29,1790340,1586000,44,3,-59,142,77,1,28,3
99985,00:01:39,1767716,902000,44,3,-59,142,77,1,28,3
109978,00:01:49,1826164,902000,44,3,-64,142,76,1,28,3
119967,00:01:59,1799488,546000,44,3,-60,142,76,1,28,3
130008,00:02:10,1785952,902000,44,3,-60,142,76,1,28,3
140000,00:02:20,1797636,757000,44,3,-60,142,76,1,28,3
149994,00:02:29,1821784,1014000,44,3,-69,142,76,1,28,3
159981,00:02:39,1813148,1144000,44,3,-60,142,76,1,28,3
169968,00:02:49,1824728,1248000,44,3,-60,142,76,1,28,3
180012,00:03:00,1803476,1248000,44,3,-64,142,76,1,28,3
189999,00:03:09,1818684,757000,44,3,-64,142,76,1,28,3
199999,00:03:19,1819144,902000,44,3,-63,142,76,1,28,3
209992,00:03:29,1820456,757000,44,3,-63,142,76,1,28,3
219985,00:03:39,1814844,1586000,44,3,-64,142,76,1,28,3
229972,00:03:49,1822688,1482000,44,3,-61,142,76,1,28,3
239966,00:03:59,1794524,1586000,44,3,-65,142,76,1,28,3
250010,00:04:10,1817464,1586000,44,3,-61,142,76,1,28,3
260009,00:04:20,1807880,1352000,44,3,-61,142,76,1,28,3
270007,00:04:30,1822420,1248000,44,3,-72,142,76,1,28,3
279998,00:04:39,1784924,902000,44,3,-62,142,76,1,28,3
289996,00:04:49,1778280,1586000,44,3,-62,142,76,1,28,3
299983,00:04:59,1800196,902000,44,3,-65,142,76,1,28,3
309973,00:05:09,1794244,902000,44,3,-63,142,76,1,28,3
320016,00:05:20,1804812,902000,44,3,-63,142,76,1,28,3
330000,00:05:30,1824960,902000,44,3,-65,142,76,1,28,3
339992,00:05:39,1793936,839000,44,3,-61,142,76,1,28,3
349979,00:05:49,1740756,839000,44,3,-66,142,76,1,28,3
359975,00:05:59,1730816,839000,44,3,-63,142,76,1,28,3
370018,00:06:10,1817856,757000,44,3,-63,142,76,1,28,3
380007,00:06:20,1796332,839000,44,3,-64,142,76,1,28,3
389998,00:06:29,1818792,676000,44,3,-62,142,76,1,28,3
399986,00:06:39,1803328,902000,44,3,-62,142,76,1,28,3
409976,00:06:49,1785368,1586000,44,3,-64,142,76,1,28,3
420018,00:07:00,1789072,902000,44,3,-61,142,76,1,28,3
430008,00:07:10,1821140,1248000,44,3,-61,142,75,1,28,3
439999,00:07:19,1807584,902000,44,3,-64,142,75,1,28,3
449998,00:07:29,1825252,757000,44,3,-63,142,75,1,28,3
459991,00:07:39,1805600,902000,44,3,-63,142,75,1,28,3
469986,00:07:49,1807344,546000,44,3,-67,142,75,1,28,3
480021,00:08:00,1782312,902000,44,3,-61,142,75,1,28,3
490013,00:08:10,1802652,902000,44,3,-61,142,75,1,28,3
500004,00:08:20,1819912,1586000,44,3,-65,142,75,1,28,3
510000,00:08:30,1825384,1586000,44,3,-56,142,75,1,28,3
519995,00:08:39,1792616,1482000,44,3,-64,142,75,1,28,3
529991,00:08:49,1825292,1482000,44,3,-63,142,75,1,28,3
539986,00:08:59,1760936,902000,44,3,-63,142,75,1,28,3
550028,00:09:10,1781180,1482000,44,3,-63,142,75,1,28,3
560027,00:09:20,1782388,1144000,44,3,-63,142,75,1,28,3
570014,00:09:30,1809312,839000,44,3,-64,142,75,1,28,3
580010,00:09:40,1803296,1014000,44,3,-61,142,75,1,28,3
590005,00:09:50,1825012,546000,44,3,-61,142,75,1,28,3
599998,00:09:59,1809288,902000,44,3,-61,142,75,1,28,3
609992,00:10:09,1795332,902000,44,3,-61,142,75,1,28,3
619985,00:10:19,1789376,1482000,44,3,-64,142,75,1,28,3
630027,00:10:30,1824680,839000,44,3,-62,142,75,1,28,3
640016,00:10:40,1795796,676000,44,3,-68,142,75,1,28,3
650007,00:10:50,1813188,546000,44,3,-68,142,75,1,28,3
660004,00:11:00,1739300,902000,44,3,-63,142,75,1,28,3
670005,00:11:10,1764324,1482000,44,3,-66,142,75,1,28,3
679996,00:11:19,1743368,546000,44,3,-61,142,75,1,28,3
689993,00:11:29,1816192,1586000,44,3,-64,142,75,1,28,3
700039,00:11:40,1773436,902000,44,3,-62,142,75,1,28,3
710030,00:11:50,1784976,1248000,44,3,-62,142,75,1,28,3
720015,00:12:00,1822884,1248000,44,3,-65,142,75,1,28,3
730007,00:12:10,1804148,676000,44,3,-63,142,75,1,28,3
739993,00:12:19,1798860,1248000,44,3,-68,142,75,1,28,3
750034,00:12:30,1804164,546000,44,3,-62,142,75,1,28,3
760024,00:12:40,1824972,676000,44,3,-66,142,75,1,28,3