Time  [ms],Min,Memory Usage [KB],CPU Frequency,CPU Load,Wi-Fi State,Wi-Fi RSSI Level [-dBm],Screen Bright,Battery,GPS State,Download,Upload,Quality,,,,,,,
146,00:00:00,1824916,1586000,40,3,-57,4,71,1,820,11,720,,,,,,,
10055,00:00:10,1824984,1586000,40,3,-57,4,71,1,820,11,720,,,,,,,
20038,00:00:20,1826428,902000,40,3,-57,4,71,1,820,11,720,,,,,,,
30025,00:00:30,1818608,1352000,40,3,-57,4,71,1,820,11,720,,,,,,,
40037,00:00:40,1781372,1352000,40,3,-57,4,71,1,820,11,720,,,,,,,
50026,00:00:50,1807700,1014000,40,3,-57,4,71,1,820,11,720,,,,,,,
60067,00:01:00,1801960,1482000,40,3,-57,4,71,1,820,11,720,,,,,,,
70064,00:01:10,1819316,902000,40,3,-57,4,71,1,820,11,720,,,,,,,
80051,00:01:20,1748760,1482000,40,3,-57,4,71,1,820,11,720,,,,,,,
90042,00:01:30,1827760,1586000,40,3,-57,4,71,1,820,11,720,,,,,,,
100032,00:01:40,1771156,1248000,40,3,-57,4,71,1,820,11,720,,,,,,,
110025,00:01:50,1802232,1586000,40,3,-57,4,71,1,820,11,720,,,,,,,
120075,00:02:00,1817648,902000,40,3,-64,4,71,1,820,11,720,,,,,,,
130060,00:02:10,1793944,902000,40,3,-57,4,71,1,820,11,720,,,,,,,
140046,00:02:20,1811088,676000,40,3,-67,4,71,1,820,11,720,,,,,,,
150043,00:02:30,1813684,902000,40,3,-62,4,71,1,820,11,720,,,,,73770,90,820
160034,00:02:40,1811620,902000,40,3,-62,4,71,1,820,11,720,,,,,1010,90,11
170026,00:02:50,1812116,1586000,40,3,-66,4,71,1,820,11,720,,,,,,,
180022,00:03:00,1805408,1144000,40,3,-60,4,71,1,820,11,720,,,,,,,
190055,00:03:10,1825336,757000,40,3,-60,4,71,1,820,11,720,,,,,,,
200049,00:03:20,1801820,1586000,40,3,-60,4,70,1,820,11,720,,,,,,,
210041,00:03:30,1851388,1586000,40,3,-66,4,70,1,820,11,720,,,,,,,
220041,00:03:40,1818476,1014000,40,3,-56,4,70,1,820,11,720,,,,,,,
230033,00:03:50,1800992,1144000,40,3,-67,4,70,1,820,11,720,,,,,,,
240027,00:04:00,1812612,676000,40,3,-56,4,70,1,820,11,720,,,,,,,
250073,00:04:10,1767132,902000,40,3,-67,4,70,1,820,11,720,,,,,,,
260062,00:04:20,1799556,1586000,40,3,-67,4,70,1,820,11,720,,,,,,,
270051,00:04:30,1824976,839000,40,3,-60,4,70,1,820,11,720,,,,,,,
280038,00:04:40,1821704,1248000,40,3,-69,4,70,1,820,11,720,,,,,,,
290031,00:04:50,1821720,1248000,40,3,-55,4,70,1,820,11,720,,,,,,,
300028,00:05:00,1796436,1586000,40,3,-55,4,70,1,820,11,720,,,,,,,
310073,00:05:10,1818368,1586000,40,3,-55,4,70,1,820,11,720,,,,,,,
320067,00:05:20,1823576,1586000,40,3,-55,4,70,1,820,11,720,,,,,,,
330063,00:05:30,1825060,1248000,40,3,-55,4,70,1,820,11,720,,,,,,,
340052,00:05:40,1774960,902000,40,3,-55,4,70,1,820,11,720,,,,,,,
350049,00:05:50,1811524,1482000,40,3,-64,4,70,1,820,11,720,,,,,,,
360042,00:06:00,1787304,902000,40,3,-63,4,70,1,820,11,720,,,,,,,
370036,00:06:10,1818496,902000,40,3,-63,4,70,1,820,11,720,,,,,,,
380032,00:06:20,1788208,757000,40,3,-67,4,70,1,820,11,720,,,,,,,
390071,00:06:30,1817076,1014000,40,3,-67,4,70,1,820,11,720,,,,,,,
400069,00:06:40,1794492,757000,40,3,-56,4,70,1,820,11,720,,,,,,,
410064,00:06:50,1818908,902000,40,3,-56,4,70,1,820,11,720,,,,,,,
420052,00:07:00,1824084,1482000,40,3,-56,4,70,1,820,11,720,,,,,,,
430049,00:07:10,1810292,1144000,40,3,-56,4,70,1,820,11,720,,,,,,,
440041,00:07:20,1824828,839000,40,3,-56,4,70,1,820,11,720,,,,,,,
450079,00:07:30,1803624,1586000,40,3,-56,4,70,1,820,11,720,,,,,,,
460068,00:07:40,1807144,676000,40,3,-56,4,70,1,820,11,720,,,,,,,
470058,00:07:50,1802824,676000,40,3,-56,4,70,1,820,11,720,,,,,,,
480060,00:08:00,1825024,902000,40,3,-56,4,70,1,820,11,720,,,,,,,
490053,00:08:10,1813352,902000,40,3,-56,4,70,1,820,11,720,,,,,,,
500051,00:08:20,1825256,902000,40,3,-56,4,69,1,820,11,720,,,,,,,
510045,00:08:30,1807152,676000,40,3,-56,4,69,1,820,11,720,,,,,,,
520032,00:08:40,1804784,676000,40,3,-56,4,69,1,820,11,720,,,,,,,
530071,00:08:50,1800752,1586000,40,3,-56,4,69,1,820,11,720,,,,,,,
540060,00:09:00,1820316,1248000,40,3,-65,4,69,1,820,11,720,,,,,,,
550051,00:09:10,1800344,1482000,40,3,-63,4,69,1,820,11,720,,,,,,,
560045,00:09:20,1812004,1482000,40,3,-63,4,69,1,820,11,720,,,,,,,
570046,00:09:30,1822620,1586000,40,3,-63,4,69,1,820,11,720,,,,,,,
580047,00:09:40,1799496,1014000,40,3,-63,4,69,1,820,11,720,,,,,,,
590042,00:09:50,1824608,1586000,40,3,-63,4,69,1,820,11,720,,,,,,,
600041,00:10:00,1818732,546000,40,3,-63,4,69,1,820,11,720,,,,,,,
610080,00:10:10,1817024,1586000,40,3,-63,4,69,1,820,11,720,,,,,,,
620077,00:10:20,1798592,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
630080,00:10:30,1824812,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
640067,00:10:40,1789392,546000,40,3,-64,4,69,1,820,11,720,,,,,,,
650057,00:10:50,1811712,902000,40,3,-61,4,69,1,820,11,720,,,,,,,
660051,00:11:00,1784596,902000,40,3,-70,4,69,1,820,11,720,,,,,,,
670044,00:11:10,1807828,546000,40,3,-70,4,69,1,820,11,720,,,,,,,
680087,00:11:20,1805708,1144000,40,3,-61,4,69,1,820,11,720,,,,,,,
690074,00:11:30,1779044,1352000,40,3,-64,4,69,1,820,11,720,,,,,,,
700068,00:11:40,1742516,676000,40,3,-63,4,69,1,820,11,720,,,,,,,
710055,00:11:50,1753776,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
720053,00:12:00,1768940,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
730047,00:12:10,1816052,1014000,40,3,-63,4,69,1,820,11,720,,,,,,,
740084,00:12:20,1812856,1586000,40,3,-63,4,69,1,820,11,720,,,,,,,
750077,00:12:30,1822208,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
760074,00:12:40,1822716,1014000,40,3,-63,4,69,1,820,11,720,,,,,,,
770066,00:12:50,1793696,546000,40,3,-63,4,69,1,820,11,720,,,,,,,
780059,00:13:00,1823472,1248000,40,3,-64,4,69,1,820,11,720,,,,,,,
790053,00:13:10,1807536,902000,40,3,-63,4,69,1,820,11,720,,,,,,,
800091,00:13:20,1824048,1248000,40,3,-63,4,69,1,820,11,720,,,,,,,
810082,00:13:30,1797584,1248000,40,3,-64,4,68,1,820,11,720,,,,,,,
820073,00:13:40,1796280,1586000,40,3,-57,4,68,1,820,11,720,,,,,,,
830062,00:13:50,1777240,1144000,40,3,-64,4,68,1,820,11,720,,,,,,,
840049,00:14:00,1819472,1248000,40,3,-61,4,68,1,820,11,720,,,,,,,
850084,00:14:10,1817856,1352000,40,3,-66,4,68,1,820,11,720,,,,,,,
860073,00:14:20,1808320,1248000,40,3,-66,4,68,1,820,11,720,,,,,,,
870061,00:14:30,1823692,1248000,40,3,-55,4,68,1,820,11,720,,,,,,,