Time,Min,Memory Usage,CPU Frequency,CPU Load,Wi-Fi State,Wi-Fi RSSI Level,Screen Bright,Battery,GPS State,Quality,Download,Upload
9962,00:00:09,1820580,1586000,40,3,-59,126,66,1,720,966,9
20004,00:00:20,1824912,1248000,40,3,-59,126,66,1,720,966,9
29957,00:00:29,1827128,1586000,40,3,-59,126,66,1,720,966,9
39998,00:00:39,1791924,1586000,40,3,-59,126,66,1,720,966,9
49984,00:00:49,1812620,902000,40,3,-59,126,66,1,720,966,9
59975,00:00:59,1853900,1248000,40,3,-59,126,66,1,720,966,9
69972,00:01:09,1802200,1586000,40,3,-71,126,66,1,720,966,9
79964,00:01:19,1806848,902000,40,3,-58,126,66,1,720,966,9
89960,00:01:29,1824152,757000,40,3,-66,126,66,1,720,966,9
100010,00:01:40,1802228,1586000,40,3,-63,126,66,1,720,966,9
110010,00:01:50,1809024,1482000,40,3,-63,126,66,1,720,966,9
120004,00:02:00,1824328,676000,40,3,-65,126,66,1,720,966,9
130003,00:02:10,1786552,839000,40,3,-57,126,66,1,720,966,9
139996,00:02:19,1781432,902000,40,3,-64,126,66,1,720,966,9
149989,00:02:29,1820784,1144000,40,3,-63,126,66,1,720,966,9
159981,00:02:39,1823280,902000,40,3,-63,126,66,1,720,966,9
169976,00:02:49,1803576,1482000,40,3,-64,126,66,1,720,966,9
179967,00:02:59,1775072,902000,40,3,-64,126,66,1,720,966,9
190012,00:03:10,1795624,902000,40,3,-60,126,66,1,720,966,9
200006,00:03:20,1812416,902000,40,3,-64,126,65,1,720,966,9
210000,00:03:30,1824484,902000,40,3,-63,126,65,1,720,966,9
219987,00:03:39,1826184,902000,40,3,-65,126,65,1,720,966,9
229985,00:03:49,1824136,1586000,40,3,-63,126,65,1,720,966,9
239977,00:03:59,1819576,1586000,40,3,-64,126,65,1,720,966,9
249970,00:04:09,1798004,1248000,40,3,-63,126,65,1,720,966,9
260012,00:04:20,1811720,1586000,40,3,-64,126,65,1,720,966,9
270007,00:04:30,1808216,1586000,40,3,-62,126,65,1,720,966,9
280004,00:04:40,1810840,1586000,40,3,-65,126,65,1,720,966,9
289986,00:04:49,1801244,1586000,40,3,-65,126,65,1,720,966,9
299981,00:04:59,1824880,1586000,40,3,-58,126,65,1,720,966,9
309969,00:05:09,1825180,1144000,40,3,-67,126,65,1,720,966,9
320008,00:05:20,1818120,902000,40,3,-60,126,65,1,720,966,9
330003,00:05:30,1818432,902000,40,3,-60,126,65,1,720,966,9
340004,00:05:40,1803916,902000,40,3,-65,126,65,1,720,966,9
349997,00:05:49,1825504,676000,40,3,-59,126,65,1,720,966,9
359991,00:05:59,1806596,1014000,40,3,-65,126,65,1,720,966,9
369984,00:06:09,1803820,839000,40,3,-62,126,65,1,720,966,9
379982,00:06:19,1824236,839000,40,3,-64,126,65,1,720,966,9
389978,00:06:29,1820236,546000,40,3,-63,126,65,1,720,966,9
399974,00:06:39,1818688,1144000,40,3,-63,126,65,1,720,966,9
410024,00:06:50,1770128,1586000,40,3,-64,126,65,1,720,966,9
420020,00:07:00,1798228,676000,40,3,-63,126,65,1,720,966,9
430018,00:07:10,1804660,1352000,40,3,-63,126,65,1,720,966,9
440011,00:07:20,1794152,902000,40,3,-67,126,65,1,720,966,9
450004,00:07:30,1795624,902000,40,3,-62,126,65,1,720,966,9
459998,00:07:39,1806500,1586000,40,3,-66,126,65,1,720,966,9
469993,00:07:49,1821300,902000,40,3,-66,126,65,1,720,966,9
479989,00:07:59,1783868,757000,40,3,-59,126,65,1,720,966,9
489985,00:08:09,1810072,902000,40,3,-64,126,65,1,720,966,9
499979,00:08:19,1810684,546000,40,3,-63,126,65,1,720,966,9
510019,00:08:30,1823896,1248000,40,3,-66,126,65,1,720,966,9
520008,00:08:40,1825660,1352000,40,3,-66,126,65,1,720,966,9
530004,00:08:50,1817920,1586000,40,3,-61,126,65,1,720,966,9
539997,00:08:59,1825368,1586000,40,3,-64,126,65,1,720,966,9
549989,00:09:09,1802260,1586000,40,3,-64,126,65,1,720,966,9
559989,00:09:19,1822952,902000,40,3,-59,126,64,1,720,966,9
569988,00:09:29,1777812,1014000,40,3,-68,126,64,1,720,966,9
580028,00:09:40,1805276,1586000,40,3,-62,126,64,1,720,966,9
590020,00:09:50,1824328,902000,40,3,-62,126,64,1,720,966,9
600019,00:10:00,1770440,902000,40,3,-65,126,64,1,720,966,9
610016,00:10:10,1806492,902000,40,3,-59,126,64,1,720,966,9
620009,00:10:20,1806384,757000,40,3,-64,126,64,1,720,966,9
630009,00:10:30,1810760,902000,40,3,-64,126,64,1,720,966,9
640005,00:10:40,1795000,839000,40,3,-59,126,64,1,720,966,9
649997,00:10:49,1817460,902000,40,3,-65,126,64,1,720,966,9
659991,00:10:59,1823360,902000,40,3,-63,126,64,1,720,966,9
669988,00:11:09,1820508,1482000,40,3,-63,126,64,1,720,966,9
680036,00:11:20,1847724,902000,40,3,-65,126,64,1,720,966,9
690003,00:11:30,1812636,1586000,40,3,-59,126,64,1,720,966,9
699990,00:11:39,1814708,1248000,40,3,-64,126,64,1,720,966,9
709988,00:11:49,1819452,1586000,40,3,-59,126,64,1,720,966,9
720030,00:12:00,1814180,1248000,40,3,-59,126,64,1,720,966,9
730015,00:12:10,1797952,546000,40,3,-66,126,64,1,720,966,9
740012,00:12:20,1819824,1586000,40,3,-63,126,64,1,720,966,9
750004,00:12:30,1803576,546000,40,3,-64,126,64,1,720,966,9