Time,Min,Memory Usage,CPU1 Frequency,CPU1 Load,Wi-Fi State,Wi-Fi RSSI Level,Screen State,Battery Remaining (%) [%],GPS State,Quality,Download ,Upload
70,00:00:00,1825556,1586000,44,3,-59,255,63,1,720,823,8
10030,00:00:10,1808472,1586000,44,3,-59,255,63,1,720,823,8
20016,00:00:20,1803296,1586000,44,3,-59,255,63,1,720,823,8
30005,00:00:30,1824180,1586000,44,3,-59,255,63,1,720,823,8
40043,00:00:40,1815328,1014000,44,3,-65,255,63,1,720,823,8
50035,00:00:50,1804940,1586000,44,3,-60,255,63,1,720,823,8
60034,00:01:00,1828324,1586000,44,3,-73,255,63,1,720,823,8
70027,00:01:10,1800812,902000,44,3,-73,255,63,1,720,823,8
80018,00:01:20,1789828,676000,44,3,-63,255,63,1,720,823,8
90007,00:01:30,1826112,757000,44,3,-63,255,63,1,720,823,8
100046,00:01:40,1806324,757000,44,3,-63,255,63,1,720,823,8
110037,00:01:50,1805932,902000,44,3,-65,255,63,1,720,823,8
120026,00:02:00,1824704,1014000,44,3,-62,255,63,1,720,823,8
130025,00:02:10,1811116,676000,44,3,-65,255,63,1,720,823,8
140018,00:02:20,1810824,839000,44,3,-65,255,63,1,720,823,8
150010,00:02:30,1802212,757000,44,3,-60,255,63,1,720,823,8
160052,00:02:40,1813708,546000,44,3,-64,255,63,1,720,823,8
170047,00:02:50,1818496,1144000,44,3,-64,255,63,1,720,823,8
180041,00:03:00,1768104,676000,44,3,-59,255,63,1,720,823,8
190043,00:03:10,1796840,902000,44,3,-65,255,63,1,720,823,8
200040,00:03:20,1798840,1014000,44,3,-65,255,63,1,720,823,8
210034,00:03:30,1825740,902000,44,3,-58,255,63,1,720,823,8
220024,00:03:40,1785440,757000,44,3,-64,255,62,1,720,823,8
230022,00:03:50,1797888,1482000,44,3,-64,255,62,1,720,823,8
240018,00:04:00,1818208,546000,44,3,-60,255,62,1,720,823,8
250012,00:04:10,1818596,1586000,44,3,-65,255,62,1,720,823,8
260059,00:04:20,1824656,1586000,44,3,-63,255,62,1,720,823,8
270053,00:04:30,1806228,1586000,44,3,-64,255,62,1,720,823,8
280046,00:04:40,1825040,1586000,44,3,-63,255,62,1,720,823,8
290037,00:04:50,1776140,1586000,44,3,-65,255,62,1,720,823,8
300040,00:05:00,1776368,1248000,44,3,-62,255,62,1,720,823,8
310019,00:05:10,1777932,839000,44,3,-64,255,62,1,720,823,8
320061,00:05:20,1779052,839000,44,3,-64,255,62,1,720,823,8
330061,00:05:30,1792428,902000,44,3,-63,255,62,1,720,823,8
340063,00:05:40,1811772,902000,44,3,-64,255,62,1,720,823,8
350058,00:05:50,1821676,1248000,44,3,-62,255,62,1,720,823,8
360045,00:06:00,1798432,1014000,44,3,-64,255,62,1,720,823,8
370044,00:06:10,1815480,1144000,44,3,-64,255,62,1,720,823,8
380038,00:06:20,1824668,1586000,44,3,-57,255,62,1,720,823,8
390022,00:06:30,1814528,902000,44,3,-64,255,62,1,720,823,8
400021,00:06:40,1812052,757000,44,3,-60,255,62,1,720,823,8
410064,00:06:50,1810336,839000,44,3,-64,255,62,1,720,823,8
420060,00:07:00,1788168,757000,44,3,-62,255,62,1,720,823,8
430054,00:07:10,1805344,902000,44,3,-62,255,62,1,720,823,8
440042,00:07:20,1825968,1586000,44,3,-64,255,62,1,720,823,8
450039,00:07:30,1797040,676000,44,3,-63,255,62,1,720,823,8
460033,00:07:40,1816492,902000,44,3,-64,255,62,1,720,823,8
470032,00:07:50,1789576,902000,44,3,-56,255,62,1,720,823,8
480071,00:08:00,1809356,902000,44,3,-64,255,62,1,720,823,8
490063,00:08:10,1782116,902000,44,3,-63,255,62,1,720,823,8
500060,00:08:20,1816880,1586000,44,3,-63,255,61,1,720,823,8
510047,00:08:30,1796196,902000,44,3,-64,255,61,1,720,823,8
520038,00:08:40,1808564,1586000,44,3,-63,255,61,1,720,823,8
530043,00:08:50,1810656,1352000,44,3,-64,255,61,1,720,823,8
540034,00:09:00,1819488,1586000,44,3,-63,255,61,1,720,823,8
550073,00:09:10,1814972,1586000,44,3,-63,255,61,1,720,823,8
560064,00:09:20,1824412,1248000,44,3,-64,255,61,1,720,823,8
570066,00:09:30,1825200,1248000,44,3,-57,255,61,1,720,823,8
580060,00:09:40,1811388,1352000,44,3,-57,255,61,1,720,823,8
590048,00:09:50,1811256,1248000,44,3,-64,255,61,1,720,823,8
600038,00:10:00,1819720,839000,44,3,-64,255,61,1,720,823,8
610032,00:10:10,1803816,902000,44,3,-63,255,61,1,720,823,8
620076,00:10:20,1813212,1248000,44,3,-64,255,61,1,720,823,8
630068,00:10:30,1804116,676000,44,3,-63,255,61,1,720,823,8
640068,00:10:40,1812492,757000,44,3,-64,255,61,1,720,823,8
650062,00:10:50,1795580,1014000,44,3,-59,255,61,1,720,823,8
660041,00:11:00,1789156,1248000,44,3,-65,255,61,1,720,823,8
670078,00:11:10,1817648,546000,44,3,-65,255,61,1,720,823,8
680065,00:11:20,1786348,546000,44,3,-63,255,61,1,720,823,8